Cereal,Calories,Potassium
Apple Cinnamon Cheerios,110,70
Basic 4,130,100
Cheerios,110,105
Cinnamon Toast Crunch,120,45
Clusters,110,105
Cocoa Puffs,110,55
Count Chocula,110,65
Crispy Wheat & Raisins,100,120
Golden Grahams,110,45
Honey Nut Cheerios,110,90
Kix,110,40
Lucky Charms,110,55
Multi-Grain Cheerios,100,90
Oatmeal Raisin Crisp,130,120
Raisin Nut Bran,100,140
Total Corn Flakes,110,35
Total Raisin Bran,140,230
Total Whole Grain,100,110
Triples,110,60
Trix,110,25
Wheaties,100,110
Wheaties Honey Gold,110,60
All-Bran,70,320
All-Bran with Extra Fiber,50,330
Apple Jacks,110,30
Corn Flakes,100,35
Corn Pops,110,20
Cracklin' Oat Bran,110,160
Crispix,110,30
Froot Loops,110,30
Frosted Flakes,110,25
Frosted Mini-Wheats,100,100
Fruitful Bran,120,190
Just Right Crunchy  Nuggets,110,60
Just Right Fruit & Nut,140,95
Mueslix Crispy Blend,160,160
Nut&Honey Crunch,120,40
Nutri-Grain Almond-Raisin,140,130
Nutri-grain Wheat,90,90
Product 19,100,45
Raisin Bran,120,240
Raisin Squares,90,110
Rice Krispies,110,35
Smacks,110,40
Special K,110,55
100% Bran,70,280
Shredded Wheat,80,95
Shredded Wheat 'n'Bran,90,140
Shredded Wheat spoon size,90,120
Strawberry Fruit Wheats,90,90
Bran Flakes,90,190
"Fruit & Fibre Dates, Walnuts, and Oats",120,200
Fruity Pebbles,110,25
Golden Crisp,100,40
Grape Nuts Flakes,100,85
Grape-Nuts,110,90
Great Grains Pecan,120,100
Honey-comb,110,35
Post Nat. Raisin Bran,120,260
100% Natural Bran,120,135
Cap'n'Crunch,120,35
Honey Graham Ohs,120,45
Life,100,95
Puffed Rice,50,15
Puffed Wheat,50,50
Quaker Oat Squares,100,110
Almond Delight,110,-1
Bran Chex,90,125
Corn Chex,110,25
Double Chex,100,80
"Muesli Raisins, Dates, & Almonds",150,170
"Muesli Raisins, Peaches, & Pecans",150,170
Rice Chex,110,30
Wheat Chex,100,115
Maypo,100,95
Cream of Wheat (Quick),100,-1
Quaker Oatmeal,100,110
