Carbohydrates,Sugars,Cups,Cereal
10.5,10,0.75,Apple Cinnamon Cheerios
18,8,0.75,Basic 4
17,1,1.25,Cheerios
13,9,0.75,Cinnamon Toast Crunch
13,7,0.5,Clusters
12,13,1,Cocoa Puffs
12,13,1,Count Chocula
11,10,0.75,Crispy Wheat & Raisins
15,9,0.75,Golden Grahams
11.5,10,0.75,Honey Nut Cheerios
21,3,1.5,Kix
12,12,1,Lucky Charms
15,6,1,Multi-Grain Cheerios
13.5,10,0.5,Oatmeal Raisin Crisp
10.5,8,0.5,Raisin Nut Bran
21,3,1,Total Corn Flakes
15,14,1,Total Raisin Bran
16,3,1,Total Whole Grain
21,3,0.75,Triples
13,12,1,Trix
17,3,1,Wheaties
16,8,0.75,Wheaties Honey Gold
7,5,0.33,All-Bran
8,0,0.5,All-Bran with Extra Fiber
11,14,1,Apple Jacks
21,2,1,Corn Flakes
13,12,1,Corn Pops
10,7,0.5,Cracklin' Oat Bran
21,3,1,Crispix
11,13,1,Froot Loops
14,11,0.75,Frosted Flakes
14,7,0.8,Frosted Mini-Wheats
14,12,0.67,Fruitful Bran
17,6,1,Just Right Crunchy  Nuggets
20,9,0.75,Just Right Fruit & Nut
17,13,0.67,Mueslix Crispy Blend
15,9,0.67,Nut&Honey Crunch
21,7,0.67,Nutri-Grain Almond-Raisin
18,2,1,Nutri-grain Wheat
20,3,1,Product 19
14,12,0.75,Raisin Bran
15,6,0.5,Raisin Squares
22,3,1,Rice Krispies
9,15,0.75,Smacks
16,3,1,Special K
5,6,0.33,100% Bran
16,0,1,Shredded Wheat
19,0,0.67,Shredded Wheat 'n'Bran
20,0,0.67,Shredded Wheat spoon size
15,5,1,Strawberry Fruit Wheats
13,5,0.67,Bran Flakes
12,10,0.67,"Fruit & Fibre Dates, Walnuts, and Oats"
13,12,0.75,Fruity Pebbles
11,15,0.88,Golden Crisp
15,5,0.88,Grape Nuts Flakes
17,3,0.25,Grape-Nuts
13,4,0.33,Great Grains Pecan
14,11,1.33,Honey-comb
11,14,0.67,Post Nat. Raisin Bran
8,8,1,100% Natural Bran
12,12,0.75,Cap'n'Crunch
12,11,1,Honey Graham Ohs
12,6,0.67,Life
13,0,1,Puffed Rice
10,0,1,Puffed Wheat
14,6,0.5,Quaker Oat Squares
14,8,0.75,Almond Delight
15,6,0.67,Bran Chex
22,3,1,Corn Chex
18,5,0.75,Double Chex
16,11,1,"Muesli Raisins, Dates, & Almonds"
16,11,1,"Muesli Raisins, Peaches, & Pecans"
23,2,1.13,Rice Chex
17,3,0.67,Wheat Chex
16,3,1,Maypo
21,0,1,Cream of Wheat (Quick)
20,11,0.67,Quaker Oatmeal
